# Program:featureCounts v2.0.8; Command:"featureCounts" "-p" "-T" "8" "-t" "CDS" "-g" "gene_name" "-a" "ref/MW2_annotation/MW2_assembly.gtf" "-o" "MW2_transcripts.txt" "mapping/M-A_S488_L006_vs_MW2.sorted.bam" "mapping/M-B_S489_L006_vs_MW2.sorted.bam" "mapping/M-C_S490_L006_vs_MW2.sorted.bam" "mapping/MplusA_S494_L006_vs_MW2.sorted.bam" "mapping/MplusB_S495_L006_vs_MW2.sorted.bam" "mapping/MplusC_S496_L006_vs_MW2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	mapping/M-A_S488_L006_vs_MW2.sorted.bam	mapping/M-B_S489_L006_vs_MW2.sorted.bam	mapping/M-C_S490_L006_vs_MW2.sorted.bam	mapping/MplusA_S494_L006_vs_MW2.sorted.bam	mapping/MplusB_S495_L006_vs_MW2.sorted.bam	mapping/MplusC_S496_L006_vs_MW2.sorted.bam
aRO8	MRSA_MW2_contig_1	11013	12395	-	1383	1168	987	1237	1139	1590	1897
pdxS	MRSA_MW2_contig_1	12499	13386	+	888	49154	37046	50541	16994	17662	22728
pdxT	MRSA_MW2_contig_1	13390	13950	+	561	38410	28120	37648	11277	13500	18129
nupC	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	14156;154177;2621655	15370;155406;2622875	-;+;+	3666	79884	72007	91025	44907	99382	87957
ctsR	MRSA_MW2_contig_1	15519	15989	+	471	3233	2798	3808	3844	5629	3670
mcsA	MRSA_MW2_contig_1	16008	16574	+	567	2819	2346	3273	3149	4301	2767
mcsB	MRSA_MW2_contig_1	16561	17571	+	1011	5165	4470	5699	5597	7437	5097
clpC	MRSA_MW2_contig_1	17585	20041	+	2457	27925	24278	32561	29490	36695	28328
radA	MRSA_MW2_contig_1	20525	21889	+	1365	8160	6761	8900	5483	5922	6379
DBIAII_00017	MRSA_MW2_contig_1	21914	22987	+	1074	8752	7187	9007	5464	6842	8041
gltX	MRSA_MW2_contig_1	23544	24998	+	1455	38532	32036	41305	26762	29442	46124
cysE	MRSA_MW2_contig_1	25388	26068	+	681	5962	4535	5814	2737	5709	4382
cysS	MRSA_MW2_contig_1	26052	27452	+	1401	10453	7621	10511	4807	9362	7290
mrnC	MRSA_MW2_contig_1	27445	27849	+	405	2402	1742	2365	1053	1914	1561
rlmB	MRSA_MW2_contig_1	27857	28603	+	747	4061	2923	4016	1762	3252	2718
rae1	MRSA_MW2_contig_1	28603	29127	+	525	4373	3001	3973	1833	3388	2652
rpoE	MRSA_MW2_contig_1;MRSA_MW2_contig_1	29208;1670718	29777;1671248	+;-	1101	22182	19290	24808	18728	22025	29548
secE	MRSA_MW2_contig_1	30091	30273	+	183	5010	3872	5384	2872	4070	3906
nusG	MRSA_MW2_contig_1	30286	30834	+	549	15642	11414	16774	8369	11263	11812
rplK	MRSA_MW2_contig_1	31015	31437	+	423	183331	130436	158476	91050	114305	139613
rplA	MRSA_MW2_contig_1	31645	32337	+	693	152392	120010	144058	102872	115234	128804
rplJ	MRSA_MW2_contig_1	32609	33109	+	501	296529	247984	290427	182668	216213	310559
rplL	MRSA_MW2_contig_1	33152	33520	+	369	112253	94840	114383	85428	98653	123152
rsmC	MRSA_MW2_contig_1	33695	34303	+	609	12686	8010	9861	4335	5928	8371
rpoB	MRSA_MW2_contig_1	34518	38069	+	3552	131551	84934	109198	82102	104357	90669
rpoC	MRSA_MW2_contig_1	38206	41829	+	3624	275679	176439	216615	123425	201299	155892
rpl7Ae	MRSA_MW2_contig_1	41966	42220	+	255	135636	86305	114786	49507	78439	78304
rpsL	MRSA_MW2_contig_1	42318	42731	+	414	252270	172110	219001	83750	134048	130795
rpsG	MRSA_MW2_contig_1	42797	43267	+	471	193709	129453	176129	70036	110179	93014
fusA_G664S	MRSA_MW2_contig_1	43390	45471	+	2082	952728	603966	820901	255339	538571	298045
tuf	MRSA_MW2_contig_1	45688	46872	+	1185	1146225	826487	1087896	392731	791166	582722
abgB	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	47154;1675840;1860294;870578;2374501	48329;1677024;1861415;871729;2375679	-;-;-;+;+	5814	16293	12978	16725	7787	15007	10618
bioF	MRSA_MW2_contig_1;MRSA_MW2_contig_1	48500;1960395	49687;1961510	+;-	2304	18821	16510	22086	10176	18154	15955
hchA	MRSA_MW2_contig_1	49954	50832	+	879	26516	19654	30353	12708	22137	11244
araB	MRSA_MW2_contig_1	50991	52628	+	1638	1847	1455	1873	1243	1356	2141
wcaG	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	52842;2639333;1983250	53807;2640358;1984101	+;+;-	2844	18575	16575	20218	14173	17384	19533
ilvE	MRSA_MW2_contig_1;MRSA_MW2_contig_1	54142;223067	55218;223675	+;+	1686	11936	9439	12613	7447	14034	10494
gph	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	55469;79032;1269516	56152;79679;1270646	+;+;-	2463	9007	7707	9245	4853	10452	7793
dck	MRSA_MW2_contig_1;MRSA_MW2_contig_1	56268;56923	56930;57540	-;-	1273	8854	7661	9717	6894	10904	11950
tadA	MRSA_MW2_contig_1	57607	58077	+	471	5096	4309	5276	3420	5603	5663
cof	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	58224;795252;407132;1692415;2071699	59093;796055;407956;1693272;2072499	+;+;-;-;-	4158	37262	30791	40102	21484	43787	37640
azo1	MRSA_MW2_contig_1	59114	59680	+	567	5199	4345	5628	4196	6605	6210
sdrC	MRSA_MW2_contig_1	60111	62978	+	2868	1037	904	1107	1840	2320	2184
sdrD	MRSA_MW2_contig_1	63345	67388	+	4044	2037	1821	2147	38907	56351	45318
sdrE	MRSA_MW2_contig_1	67782	71207	+	3426	101684	69729	91905	5654	13026	9326
rfaB	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	71326;2406237;72922	72798;2407403;74412	+;+;-	4131	25472	22377	28894	6715	14919	13083
folE2	MRSA_MW2_contig_1	74694	75572	-	879	19681	16421	20864	12075	17175	20217
bshB2	MRSA_MW2_contig_1	75585	76250	-	666	8835	7335	9605	5092	8031	8319
DBIAII_00058	MRSA_MW2_contig_1	76264	76626	-	363	10067	8167	10589	5506	8535	9266
nagB	MRSA_MW2_contig_1;MRSA_MW2_contig_1	76902;1414588	77660;1415187	+;-	1359	32050	24250	30170	10681	26201	14842
hxlA	MRSA_MW2_contig_1	77737	78369	+	633	16129	12885	17209	6561	10715	9331
hxlB	MRSA_MW2_contig_1	78371	78919	+	549	14877	12139	16833	7330	10788	8923
proP	MRSA_MW2_contig_1;MRSA_MW2_contig_1	80181;1985584	81581;1986984	+;-	2802	22961	19131	23651	7795	14642	10721
vraA	MRSA_MW2_contig_1	82125	83501	+	1377	1161	1060	1246	535	558	938
vraB	MRSA_MW2_contig_1	83503	84642	+	1140	1513	1305	1650	849	1031	1227
vraC	MRSA_MW2_contig_1	84617	84982	+	366	241	147	250	134	136	190
DBIAII_00067	MRSA_MW2_contig_1	84985	85254	+	270	481	432	540	303	382	553
vraX	MRSA_MW2_contig_1	85455	85622	-	168	2658	2538	2818	3531	16390	11314
pdxK	MRSA_MW2_contig_1	86129	86959	-	831	18485	16118	20467	10197	24185	16760
ung	MRSA_MW2_contig_1	87143	87799	+	657	8419	6732	8677	3567	5792	7154
ywdI	MRSA_MW2_contig_1	87800	88180	+	381	5385	4600	5432	2277	3550	4306
DBIAII_00072	MRSA_MW2_contig_1	88313	88681	+	369	3680	3350	3880	2112	3243	3563
potE	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	88802;1992238;2149785;937534;1979601	90286;1993875;2151233;938856;1981430	+;+;+;-;-	7725	117985	95180	118327	26582	45958	39833
yjjB	MRSA_MW2_contig_1;MRSA_MW2_contig_1	90427;257577	90879;258071	-;-	948	5206	4031	5279	3377	6093	6439
yjjP	MRSA_MW2_contig_1;MRSA_MW2_contig_1	90892;258089	91656;258850	-;-	1527	5660	4620	5828	4018	6681	6347
hemQ	MRSA_MW2_contig_1	92205	92957	-	753	20204	16811	21277	12593	32001	24569
pta	MRSA_MW2_contig_1	93125	94111	+	987	31829	26757	34824	17633	34925	28944
lipL	MRSA_MW2_contig_1	94114	94950	+	837	19395	16668	21443	11362	21460	18492
mvk	MRSA_MW2_contig_1	95537	96457	+	921	8469	6994	9324	5329	5471	8741
mvaD	MRSA_MW2_contig_1	96462	97445	+	984	11745	9344	11822	6218	6442	9688
eRG12	MRSA_MW2_contig_1	97458	98534	+	1077	18996	15491	19828	8892	10022	15670
DBIAII_00083	MRSA_MW2_contig_1	98711	99052	+	342	2238	1981	2463	2301	2227	3364
merA	MRSA_MW2_contig_1	99104	100426	-	1323	2153	1951	2321	2573	2495	3971
hypR	MRSA_MW2_contig_1	100413	100853	-	441	269	272	363	498	365	598
DBIAII_00086	MRSA_MW2_contig_1	101478	102887	+	1410	4125	3221	4351	1530	2782	1579
DBIAII_00087	MRSA_MW2_contig_1	102891	103517	+	627	1221	840	1150	450	915	754
DBIAII_00088	MRSA_MW2_contig_1	103653	104285	+	633	1464	1198	1442	611	1183	880
DBIAII_00089	MRSA_MW2_contig_1	104373	104990	+	618	1922	1554	1910	756	1109	1027
DBIAII_00090	MRSA_MW2_contig_1	105065	105694	+	630	3309	2518	3145	831	1541	1648
DBIAII_00091	MRSA_MW2_contig_1	105890	106510	+	621	2297	1821	2462	720	1266	1324
DBIAII_00092	MRSA_MW2_contig_1	106650	107282	+	633	862	790	947	399	474	510
DBIAII_00093	MRSA_MW2_contig_1	107329	107958	+	630	1533	1241	1612	551	754	724
DBIAII_00094	MRSA_MW2_contig_1	108411	109040	+	630	1196	897	1273	500	677	681
DBIAII_00095	MRSA_MW2_contig_1	109164	109805	+	642	1086	907	1102	401	743	697
DBIAII_00096	MRSA_MW2_contig_1	109842	110477	+	636	785	705	922	366	541	521
DBIAII_00097	MRSA_MW2_contig_1	110443	110688	+	246	407	309	393	102	179	179
DBIAII_00098	MRSA_MW2_contig_1	110712	111338	+	627	2061	1605	1831	740	1224	1121
pdxI	MRSA_MW2_contig_1;MRSA_MW2_contig_1	111608;1049874	112546;1050782	+;+	1848	11982	9422	12036	6433	11417	10433
wrbA	MRSA_MW2_contig_1	112757	113293	+	537	8089	6123	8274	4495	6772	7733
rimI	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	113462;479509;2757104;1588267;1902735	113938;480060;2757589;1588731;1903250	+;+;+;-;-	2496	10029	8155	10832	6721	12121	10454
ydhJ	MRSA_MW2_contig_1	113978	115273	+	1296	13205	10567	13515	10911	18443	17904
DBIAII_00103	MRSA_MW2_contig_1	115316	115822	+	507	2912	2449	2915	3448	5016	4536
adhP	MRSA_MW2_contig_1	116321	117331	+	1011	19300	18867	25524	2497	16101	5369
DBIAII_00105	MRSA_MW2_contig_1	117408	117515	+	108	16	21	25	13	17	26
ywiB	MRSA_MW2_contig_1	117608	118024	+	417	1910	1643	2421	2099	2725	2822
argS	MRSA_MW2_contig_1	118021	119682	+	1662	17431	15963	19961	15551	17605	25973
hP0602	MRSA_MW2_contig_1	120073	120708	+	636	571	510	532	374	756	574
fepB	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	121019;1814719;2389349	121906;1815627;2390341	+;-;-	2790	16810	15568	19647	21240	29966	35548
