# Program:featureCounts v2.0.8; Command:"featureCounts" "-p" "-T" "8" "-t" "CDS" "-g" "gene_name" "-a" "ref/LacFitz_annotation/LacFitz_assembly.gtf" "-o" "LacFitz_transcripts.txt" "mapping/L-A_S491_L006_vs_LacFitz.sorted.bam" "mapping/L-B_S492_L006_vs_LacFitz.sorted.bam" "mapping/L-C_S493_L006_vs_LacFitz.sorted.bam" "mapping/LplusA_S498_L006_vs_LacFitz.sorted.bam" "mapping/LplusB_S499_L006_vs_LacFitz.sorted.bam" "mapping/LplusC_S500_L006_vs_LacFitz.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	mapping/L-A_S491_L006_vs_LacFitz.sorted.bam	mapping/L-B_S492_L006_vs_LacFitz.sorted.bam	mapping/L-C_S493_L006_vs_LacFitz.sorted.bam	mapping/LplusA_S498_L006_vs_LacFitz.sorted.bam	mapping/LplusB_S499_L006_vs_LacFitz.sorted.bam	mapping/LplusC_S500_L006_vs_LacFitz.sorted.bam
aRO8	MRSA_LacFitz_contig_1	10809	12191	-	1383	1144	1100	1541	1395	1099	1033
pdxS	MRSA_LacFitz_contig_1	12295	13182	+	888	37569	32319	38657	38352	30752	18745
pdxT	MRSA_LacFitz_contig_1	13186	13746	+	561	34957	31874	42119	32405	25785	16865
nupC	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	13954;162864;2681211	15168;164093;2682431	-;+;+	3666	84868	87369	104027	106333	86358	82761
ctsR	MRSA_LacFitz_contig_1	15317	15787	+	471	3386	3318	4766	3453	3591	2904
mcsA	MRSA_LacFitz_contig_1	15806	16372	+	567	3062	3001	4246	2915	3272	2781
mcsB	MRSA_LacFitz_contig_1	16359	17369	+	1011	5923	6147	8400	5559	6132	5008
clpC	MRSA_LacFitz_contig_1	17383	19839	+	2457	29692	30664	39817	27289	30740	21800
radA	MRSA_LacFitz_contig_1	20324	21688	+	1365	9283	8751	10171	8127	8465	6351
PBCCJM_00017	MRSA_LacFitz_contig_1	21713	22786	+	1074	9235	9459	11666	8100	8729	6797
gltX	MRSA_LacFitz_contig_1	23343	24797	+	1455	44168	43833	51697	30064	29283	27456
cysE	MRSA_LacFitz_contig_1	25187	25867	+	681	6420	6193	8645	5301	4627	4827
cysS	MRSA_LacFitz_contig_1	25851	27251	+	1401	11410	10369	14062	9425	8106	8548
mrnC	MRSA_LacFitz_contig_1	27244	27648	+	405	2450	2357	2915	2219	1851	1875
rlmB	MRSA_LacFitz_contig_1	27656	28402	+	747	4242	4032	5258	3408	3096	3449
rae1	MRSA_LacFitz_contig_1	28402	28926	+	525	4401	4028	5143	3443	3089	3257
rpoE	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	29007;1689129	29576;1689659	+;-	1101	22243	21784	24895	15226	16258	15703
secE	MRSA_LacFitz_contig_1	29890	30072	+	183	4636	4690	5925	3424	3775	3152
nusG	MRSA_LacFitz_contig_1	30085	30633	+	549	14056	14340	17328	11141	11830	9644
rplK	MRSA_LacFitz_contig_1	30814	31236	+	423	119981	109341	137273	105284	98323	91708
rplA	MRSA_LacFitz_contig_1	31444	32136	+	693	107042	91410	102554	97275	91110	86318
rplJ	MRSA_LacFitz_contig_1	32408	32908	+	501	211599	191597	224674	203663	173059	190553
rplL	MRSA_LacFitz_contig_1	32951	33319	+	369	85580	69870	81285	77887	67918	76539
rsmC	MRSA_LacFitz_contig_1	33494	34102	+	609	7984	7392	9717	6873	5715	5889
rpoB	MRSA_LacFitz_contig_1	34317	37868	+	3552	87490	71867	95161	63277	63351	68489
rpoC	MRSA_LacFitz_contig_1	38005	41628	+	3624	168353	123502	182962	133468	124282	147789
rpl7Ae	MRSA_LacFitz_contig_1	41765	42019	+	255	82146	71518	99785	74091	70930	57026
rpsL	MRSA_LacFitz_contig_1	42117	42530	+	414	162578	134157	185324	140693	121772	105263
rpsG	MRSA_LacFitz_contig_1	42596	43066	+	471	116037	92826	128039	106995	95843	74371
fusA_G664S	MRSA_LacFitz_contig_1	43189	45270	+	2082	602760	435792	665603	485944	441974	360294
tuf	MRSA_LacFitz_contig_1	45487	46671	+	1185	900390	756493	1106342	739029	655629	628617
abgB	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	46953;1694251;1890772;879159;2433278	48128;1695435;1891893;880310;2434456	-;-;-;+;+	5814	14534	12349	19125	13113	13416	13867
